w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,class_label,val
1,0,0,0,0,0,0,1,0,0,0,0,0,1,acoustic_guitar,0.16666666666666666
1,1,1,1,1,1,1,0,1,1,0,1,0,0,bottle,0.10606060606060606
1,0,0,0,1,1,1,0,1,0,1,1,0,0,tv,0.007575757575757576
1,1,0,1,1,0,0,0,0,1,1,0,0,1,helmet,0.08888888888888888
0,1,0,0,1,1,0,1,1,1,1,0,0,1,acoustic_guitar,0.0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,helmet,0.05555555555555556
0,1,0,0,1,1,0,1,0,1,0,0,1,1,desk_lamp,0.03846153846153847
0,1,0,0,1,0,1,1,1,0,0,0,0,0,bottle,0.06818181818181819
0,1,0,0,0,0,1,0,0,1,0,1,1,1,bench,0.02727272727272728
0,1,0,0,1,0,1,1,1,1,1,1,0,0,tv,0.0
0,1,0,0,1,0,1,0,0,1,0,0,1,1,bottle,0.15151515151515152
0,1,0,1,0,0,1,0,0,1,1,0,0,1,tv,0.015151515151515152
1,0,1,1,1,0,0,0,0,0,1,1,1,0,acoustic_guitar,0.0
0,1,1,0,1,0,0,0,0,0,0,1,1,0,tv,0.015151515151515152
1,0,0,0,0,1,0,0,0,1,1,0,0,1,desk_lamp,0.06593406593406594
1,1,0,0,1,0,1,1,1,0,0,1,1,0,acoustic_guitar,0.0
0,0,0,0,0,1,0,1,1,0,1,0,1,0,tv,0.03787878787878788
0,1,0,0,1,1,0,1,0,0,0,1,0,0,acoustic_guitar,0.08333333333333333
0,0,1,0,1,1,0,1,0,1,1,0,1,0,bench,0.018181818181818184
1,0,0,1,1,1,0,1,1,1,1,0,1,0,acoustic_guitar,0.0
0,0,0,1,0,1,0,0,1,1,0,1,0,0,bottle,0.09848484848484847
1,1,1,1,0,0,0,0,0,0,0,1,1,0,bottle,0.1590909090909091
0,1,1,1,1,0,1,1,0,0,1,1,1,1,bench,0.009090909090909092
1,0,1,1,0,0,0,1,0,1,1,0,0,0,acoustic_guitar,0.0
0,1,0,1,1,0,1,0,1,0,0,0,0,0,tv,0.015151515151515152
0,1,1,1,1,1,1,1,1,0,0,0,0,1,acoustic_guitar,0.0
1,1,1,0,0,0,1,1,1,1,0,1,0,1,desk_lamp,0.08241758241758242
0,1,0,1,0,0,1,0,0,1,1,1,1,0,desk_lamp,0.1043956043956044
0,0,0,0,1,0,0,1,1,0,1,0,1,1,tv,0.015151515151515152
0,1,1,1,1,1,0,1,0,0,1,0,0,0,desk_lamp,0.0
1,1,1,1,1,0,1,1,1,0,0,0,1,1,ant,0.0
1,0,1,0,1,0,1,1,1,1,0,1,0,1,ant,0.2
0,1,1,1,1,1,0,1,0,1,0,0,1,1,acoustic_guitar,0.0
0,1,1,1,1,1,1,0,1,1,1,1,1,1,helmet,0.08888888888888888
1,0,1,0,1,0,0,0,0,0,1,0,0,1,tv,0.015151515151515152
0,1,0,1,1,1,0,0,1,1,0,0,0,0,ant,0.25
0,0,1,1,1,0,0,0,1,0,1,0,1,0,tv,0.03787878787878788
1,0,0,0,0,1,0,0,1,0,1,0,0,0,acoustic_guitar,0.0
1,1,1,1,1,1,0,0,1,1,0,0,0,1,ant,0.15
0,0,1,1,0,0,0,0,1,0,0,0,1,1,bottle,0.1590909090909091
1,0,1,0,0,0,0,0,0,1,1,0,0,0,acoustic_guitar,0.0
1,1,1,0,0,0,0,1,1,0,0,0,0,0,bottle,0.11363636363636363
1,0,1,1,1,1,0,0,0,0,1,0,0,0,ant,0.0
1,0,1,0,0,0,0,0,1,1,1,1,1,1,tv,0.015151515151515152
0,0,1,1,0,1,1,0,1,1,1,1,0,0,acoustic_guitar,0.08333333333333333
0,1,1,0,1,1,0,1,1,1,1,1,0,0,bottle,0.1590909090909091
1,1,1,1,1,0,0,0,1,0,1,0,1,0,helmet,0.04444444444444444
0,0,0,1,1,0,0,0,1,0,0,1,1,0,tv,0.007575757575757576
1,0,1,1,1,1,0,0,0,0,1,1,1,0,helmet,0.07777777777777778
1,0,0,1,0,1,1,1,1,1,1,1,1,0,bench,0.04545454545454546
1,1,0,0,0,1,0,0,1,0,0,1,0,0,bench,0.009090909090909092
1,0,0,0,1,1,0,1,0,1,0,1,0,1,desk_lamp,0.08241758241758242
1,1,0,1,1,1,1,0,1,0,1,1,0,1,ant,0.1
1,1,1,0,0,0,1,1,1,1,0,1,0,1,bench,0.05454545454545456
1,1,0,0,1,0,0,1,0,0,0,1,0,0,helmet,0.09999999999999999
0,1,1,0,1,1,0,0,0,1,1,1,0,0,acoustic_guitar,0.08333333333333333
1,0,1,1,0,0,1,0,1,1,1,1,1,1,bottle,0.1818181818181818
0,1,0,0,1,0,0,0,0,0,0,0,0,0,bottle,0.04545454545454545
0,0,0,1,0,0,1,1,1,0,0,0,1,1,helmet,0.06666666666666667
1,0,0,1,0,0,0,1,1,1,0,0,0,0,bottle,0.13636363636363638
0,1,0,1,1,0,0,0,1,0,0,1,0,0,ant,0.05
1,1,1,1,1,1,0,1,0,1,1,1,0,1,ant,0.15
1,0,1,0,1,0,0,1,0,1,0,0,1,0,desk_lamp,0.027472527472527476
1,1,1,1,0,1,0,1,1,0,1,0,0,0,bench,0.018181818181818184
0,1,1,1,0,1,0,1,1,0,1,1,1,0,acoustic_guitar,0.0
1,1,1,0,0,1,1,1,0,0,0,0,0,0,tv,0.007575757575757576
0,1,0,0,1,1,0,1,1,1,1,0,0,1,helmet,0.04444444444444444
1,0,0,0,1,1,1,0,0,1,1,1,0,1,helmet,0.13333333333333333
1,0,0,0,1,1,1,0,0,1,1,0,1,0,helmet,0.06666666666666667
0,0,1,1,1,1,0,1,0,0,1,1,1,0,desk_lamp,0.0879120879120879
0,0,0,0,0,1,0,1,1,0,1,0,1,0,bottle,0.14393939393939395
0,1,1,0,1,0,1,0,1,1,0,0,1,0,ant,0.1
1,1,1,0,1,1,1,1,1,0,1,0,0,0,desk_lamp,0.04395604395604396
1,1,0,1,0,0,1,1,1,0,1,0,1,0,ant,0.0
1,1,1,0,1,1,0,1,0,1,1,1,1,1,acoustic_guitar,0.0
0,1,0,1,0,0,0,0,1,0,0,1,0,0,desk_lamp,0.08791208791208792
0,0,0,0,0,1,0,0,1,1,0,1,1,0,ant,0.15
1,0,1,1,1,0,0,0,0,0,1,1,1,0,helmet,0.07777777777777778
0,1,1,1,1,0,1,1,0,0,1,1,0,1,tv,0.022727272727272724
0,0,1,0,1,1,1,0,1,1,1,1,1,1,bench,0.018181818181818184
0,0,0,1,1,1,0,0,1,1,0,0,1,0,tv,0.022727272727272724
0,0,1,1,1,0,0,0,0,0,0,1,1,1,tv,0.022727272727272724
0,1,1,1,1,1,1,0,0,1,0,1,0,1,desk_lamp,0.08791208791208793
0,0,1,1,1,1,0,1,0,1,1,1,1,0,bench,0.02727272727272728
1,0,0,0,0,0,1,1,0,1,1,1,0,1,ant,0.15
0,1,1,0,1,1,0,1,1,0,0,0,0,0,bottle,0.10606060606060604
0,1,0,0,0,0,1,0,0,1,0,1,1,1,helmet,0.08888888888888888
0,1,1,0,0,0,1,0,0,1,0,1,1,0,tv,0.0
0,0,0,0,1,1,1,0,1,1,1,1,0,1,desk_lamp,0.1043956043956044
0,0,0,0,1,1,0,1,0,1,0,0,0,1,bottle,0.12121212121212122
1,1,1,1,0,1,1,1,1,0,1,1,1,0,bottle,0.1590909090909091
1,0,0,0,1,1,0,1,1,0,0,1,1,0,helmet,0.08888888888888888
0,0,0,1,1,0,1,1,0,1,1,0,1,1,helmet,0.05555555555555556
0,1,0,0,0,1,1,1,0,0,1,0,0,1,helmet,0.02222222222222222
1,0,0,0,0,1,1,0,0,1,1,1,1,1,bench,0.03636363636363637
0,1,0,0,1,1,0,1,0,0,1,1,0,0,bench,0.0
0,1,1,0,0,1,0,0,1,1,1,0,0,1,bench,0.018181818181818184
0,0,0,0,0,0,1,1,1,0,0,0,0,0,bench,0.02727272727272728
0,0,1,1,1,1,0,1,1,1,1,1,0,0,tv,0.0
0,1,0,1,1,1,1,1,1,1,0,1,1,1,ant,0.2
1,1,0,0,0,1,0,1,0,0,0,0,0,1,ant,0.05
0,0,0,0,1,0,1,0,0,1,1,0,0,0,acoustic_guitar,0.08333333333333333
0,0,0,0,1,0,0,1,1,0,0,0,0,0,desk_lamp,0.01098901098901099
1,0,0,1,0,0,0,0,1,0,1,0,1,1,acoustic_guitar,0.0
0,0,1,0,0,0,0,1,0,1,0,1,1,0,acoustic_guitar,0.0
0,0,0,1,1,1,1,0,0,0,1,1,0,0,bottle,0.09848484848484847
0,1,0,1,1,0,0,0,1,0,0,1,0,0,tv,0.007575757575757576
0,1,1,1,1,0,1,1,0,0,1,1,0,1,acoustic_guitar,0.25
1,1,0,0,0,0,1,0,1,0,0,0,1,1,acoustic_guitar,0.0
1,1,1,0,1,1,1,0,0,1,1,0,0,0,desk_lamp,0.06043956043956045
0,1,1,0,1,1,1,0,1,0,1,0,0,0,tv,0.0
1,0,0,0,0,0,0,1,1,0,1,1,0,1,desk_lamp,0.1043956043956044
0,0,1,0,1,1,1,0,0,1,0,1,1,0,bottle,0.15151515151515152
1,0,1,1,0,0,0,1,0,0,0,1,0,1,bottle,0.11363636363636363
1,1,0,0,1,1,1,0,0,1,0,1,0,1,bottle,0.14393939393939395
1,0,1,0,1,1,1,1,1,0,1,0,1,1,desk_lamp,0.06043956043956045
0,0,0,0,1,1,0,0,1,1,1,0,0,1,helmet,0.04444444444444444
1,1,0,1,0,0,1,0,0,1,1,1,0,0,tv,0.030303030303030304
0,0,0,0,0,1,0,0,0,1,1,1,0,0,tv,0.015151515151515152
1,1,1,1,1,0,1,1,0,1,0,1,1,1,helmet,0.12222222222222223
0,1,1,1,0,1,0,0,0,0,0,0,0,1,bench,0.0
1,0,1,1,0,1,0,0,0,1,1,0,1,0,desk_lamp,0.06593406593406594
1,0,0,0,1,1,0,1,0,1,1,1,0,1,bench,0.03636363636363637
1,1,1,1,0,1,0,0,1,1,0,0,0,1,bottle,0.22727272727272727
1,1,0,0,1,1,1,0,0,1,1,1,1,0,desk_lamp,0.13186813186813184
1,0,1,1,1,1,0,1,0,1,0,1,0,1,acoustic_guitar,0.0
0,1,1,1,0,0,0,1,1,1,1,1,0,1,tv,0.022727272727272724
1,1,1,1,1,0,0,0,1,1,0,1,1,0,desk_lamp,0.08791208791208792
1,1,1,1,1,1,1,0,0,1,0,1,1,0,desk_lamp,0.08241758241758243
1,1,1,1,1,0,1,1,1,1,1,0,1,0,bottle,0.14393939393939395
1,1,0,0,1,1,1,1,1,0,0,1,0,1,ant,0.05
0,1,1,0,0,0,0,1,0,1,0,0,0,1,bottle,0.13636363636363635
0,0,0,0,0,0,1,1,1,1,1,1,0,0,helmet,0.14444444444444443
0,0,1,1,1,0,0,0,0,0,1,0,1,0,ant,0.1
0,1,1,1,1,1,0,1,0,1,1,1,1,0,bottle,0.1590909090909091
0,1,0,1,1,0,0,0,1,0,0,0,1,1,desk_lamp,0.03296703296703297
0,1,0,0,1,0,1,1,1,1,1,1,0,0,ant,0.2
0,0,0,0,1,0,1,1,1,0,1,0,1,0,bench,0.0
1,0,1,1,1,0,0,0,0,1,1,1,0,1,ant,0.15
1,0,1,1,1,0,0,1,0,1,0,1,0,1,desk_lamp,0.08241758241758242
1,0,1,1,1,1,0,1,0,1,0,1,0,1,bench,0.04545454545454546
1,0,1,0,1,0,0,1,0,1,0,1,1,0,helmet,0.09999999999999999
1,1,0,0,0,0,1,1,1,1,1,0,1,0,desk_lamp,0.07692307692307691
1,1,1,0,0,0,1,0,1,0,1,0,1,0,acoustic_guitar,0.0
1,0,0,1,0,0,1,1,0,1,0,1,1,1,tv,0.030303030303030304
0,1,1,0,0,0,1,1,0,1,0,0,1,1,bottle,0.15151515151515152
1,0,0,1,1,0,0,0,1,0,0,0,0,0,desk_lamp,0.04395604395604396
0,1,1,0,0,1,0,1,0,1,0,1,1,0,ant,0.1
0,1,0,1,1,1,0,0,1,1,0,0,0,0,bottle,0.0909090909090909
1,0,1,1,0,1,0,0,1,0,0,0,1,0,ant,0.0
0,1,0,0,1,1,1,1,1,0,1,1,0,0,desk_lamp,0.1043956043956044
1,0,0,0,0,0,1,0,1,0,0,1,0,0,tv,0.03787878787878788
0,0,1,1,0,0,1,1,0,1,1,1,0,1,acoustic_guitar,0.25
0,0,1,0,1,1,1,0,1,1,0,1,1,1,bottle,0.17424242424242423
1,1,0,0,0,1,0,1,0,0,0,0,1,0,desk_lamp,0.03296703296703297
1,0,1,0,0,0,0,1,0,1,1,0,1,0,bottle,0.13636363636363638
0,1,0,1,0,1,1,0,0,0,1,1,1,0,bench,0.0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,helmet,0.06666666666666667
1,0,0,0,1,0,0,0,0,1,0,0,0,0,helmet,0.17777777777777776
1,1,0,1,0,1,0,0,0,0,0,1,0,0,helmet,0.09999999999999999
0,1,1,1,1,1,1,0,0,0,0,0,1,1,bottle,0.1590909090909091
1,1,0,0,1,1,0,0,1,0,0,0,1,1,helmet,0.07777777777777778
1,1,0,0,0,1,1,0,0,1,1,0,1,1,bottle,0.19696969696969693
1,0,0,1,1,1,0,0,0,1,0,0,1,1,acoustic_guitar,0.0
1,1,0,0,0,1,0,1,0,0,1,1,1,1,desk_lamp,0.09340659340659341
0,0,1,0,0,1,0,1,0,1,1,1,1,0,helmet,0.05555555555555556
1,1,1,0,1,0,0,1,0,0,0,0,1,1,bench,0.009090909090909092
1,1,0,0,0,1,0,0,0,0,0,1,1,1,bottle,0.1818181818181818
1,0,0,1,1,1,1,0,0,0,0,1,0,1,bench,0.03636363636363637
1,0,0,1,1,1,1,1,1,0,0,0,0,1,bench,0.018181818181818184
0,1,0,1,0,0,1,0,1,0,0,0,1,1,ant,0.15
0,1,1,1,0,1,0,1,1,0,1,1,1,1,helmet,0.08888888888888888
0,0,0,1,1,0,0,0,1,0,0,1,1,0,ant,0.05
0,0,1,1,0,0,0,0,1,0,1,1,0,1,desk_lamp,0.11538461538461539
1,1,0,0,0,0,1,0,1,0,0,0,1,1,helmet,0.07777777777777778
1,1,1,0,1,0,0,1,0,0,0,0,1,1,acoustic_guitar,0.0
0,1,1,0,1,1,0,0,1,0,1,0,0,0,tv,0.0
1,1,1,1,1,0,0,0,1,1,1,0,1,1,ant,0.1
1,1,0,1,0,1,1,1,0,1,1,1,0,0,bench,0.02727272727272728
1,0,0,1,1,1,1,0,0,0,0,1,0,1,acoustic_guitar,0.0
0,0,0,1,1,1,0,0,1,0,0,0,1,1,tv,0.007575757575757576
1,1,1,0,1,1,1,0,0,1,0,0,0,0,bottle,0.15151515151515152
1,1,1,0,0,0,0,0,0,1,1,1,0,1,bench,0.03636363636363637
1,0,0,1,0,1,0,0,1,1,0,1,0,1,bottle,0.15151515151515152
1,0,1,0,0,0,0,1,0,1,1,0,0,0,acoustic_guitar,0.0
0,1,0,0,0,0,1,0,1,0,0,0,1,0,ant,0.0
0,0,1,1,0,0,0,0,1,0,1,1,0,1,bench,0.02727272727272728
1,0,1,0,1,0,0,1,1,1,1,1,1,1,bottle,0.1818181818181818
1,1,1,1,0,1,0,0,1,0,0,0,0,1,bottle,0.1818181818181818
0,0,1,1,0,1,0,1,0,1,1,0,0,1,desk_lamp,0.049450549450549455
0,1,1,0,1,1,0,0,0,1,1,1,0,0,desk_lamp,0.12637362637362637
0,1,0,0,1,1,1,0,1,1,0,1,0,1,helmet,0.11111111111111112
1,1,0,0,1,0,1,0,0,1,1,1,1,1,helmet,0.08888888888888888
1,0,1,1,1,0,0,1,0,1,1,0,0,0,bench,0.018181818181818184
1,1,1,1,0,0,0,0,0,0,0,0,0,1,desk_lamp,0.03296703296703297
0,1,0,1,0,1,0,0,1,0,1,1,0,1,acoustic_guitar,0.08333333333333333
0,1,1,0,1,1,0,0,1,0,1,0,0,0,acoustic_guitar,0.0
1,0,1,0,0,1,1,0,1,0,0,1,1,1,acoustic_guitar,0.0
0,1,0,1,0,0,0,1,1,1,0,0,0,1,ant,0.35
1,1,0,1,1,1,0,0,1,1,1,1,1,1,helmet,0.08888888888888888
1,0,0,1,0,1,1,1,1,1,1,1,1,0,desk_lamp,0.12087912087912087
0,1,0,0,1,1,1,1,0,0,0,0,1,1,desk_lamp,0.027472527472527476
0,1,1,0,1,1,1,0,1,0,0,1,1,1,desk_lamp,0.07692307692307691
0,1,0,1,0,0,1,1,0,1,0,1,1,0,ant,0.1
1,0,1,0,0,1,1,0,0,1,1,0,0,0,helmet,0.02222222222222222
1,0,1,1,1,1,0,0,0,0,1,0,1,1,ant,0.05
1,0,0,0,0,1,1,1,1,1,1,0,1,0,desk_lamp,0.07692307692307691
1,0,1,1,1,1,1,1,0,1,0,0,0,1,tv,0.022727272727272724
1,0,0,1,1,0,0,0,1,0,0,0,0,0,tv,0.03787878787878788
1,1,1,1,1,0,1,1,1,0,0,0,1,1,bottle,0.16666666666666666
1,1,0,0,0,1,0,0,1,0,0,0,0,1,acoustic_guitar,0.0
0,1,0,0,1,1,1,1,1,0,0,1,0,1,acoustic_guitar,0.08333333333333333
1,1,1,1,1,1,0,0,1,1,0,0,0,1,bottle,0.22727272727272727
0,0,1,1,1,0,1,0,0,0,1,1,1,1,desk_lamp,0.08241758241758244
0,1,0,1,0,1,1,1,1,1,0,0,0,0,acoustic_guitar,0.0
0,1,1,0,1,1,1,0,1,0,0,1,1,1,ant,0.15
0,1,0,1,1,0,0,0,1,0,0,1,0,1,acoustic_guitar,0.08333333333333333
0,1,0,1,1,1,0,0,0,1,0,1,0,0,acoustic_guitar,0.0
0,0,1,0,0,0,0,1,0,1,1,1,1,1,tv,0.030303030303030304
1,1,1,0,0,0,1,0,0,1,0,1,1,0,desk_lamp,0.08241758241758243
1,0,0,0,0,1,1,1,1,1,1,0,1,0,ant,0.0
1,1,0,0,0,1,0,1,0,0,1,1,1,1,tv,0.022727272727272724
1,1,1,0,1,1,1,1,1,0,0,0,1,1,desk_lamp,0.05494505494505496
0,1,0,1,0,1,0,0,1,0,1,0,0,0,tv,0.0
1,1,0,1,0,0,0,0,0,1,1,0,0,1,bottle,0.2196969696969697
1,1,0,0,1,0,0,0,0,1,0,0,1,0,helmet,0.07777777777777778
1,1,1,0,0,1,1,1,0,0,0,0,1,0,bottle,0.15151515151515152
0,0,0,0,1,1,1,1,0,1,0,1,0,0,helmet,0.04444444444444444
1,0,0,0,0,1,1,0,0,1,0,1,1,1,bottle,0.1818181818181818
0,0,0,0,1,0,0,0,1,1,0,1,1,1,desk_lamp,0.07142857142857142
0,0,1,1,0,0,0,0,1,0,1,1,0,1,tv,0.015151515151515152
0,1,0,1,1,0,0,0,1,0,0,1,0,1,bench,0.03636363636363637
0,1,0,1,1,1,0,0,0,1,0,1,0,0,bench,0.02727272727272728
1,1,0,1,1,0,1,0,1,1,0,0,1,0,desk_lamp,0.03846153846153847
0,1,0,0,1,1,1,0,1,0,1,1,0,1,acoustic_guitar,0.08333333333333333
0,0,0,0,1,0,0,0,1,1,0,1,1,0,bottle,0.1590909090909091
1,0,0,1,1,1,1,1,0,0,1,1,0,0,acoustic_guitar,0.0
0,0,1,0,0,0,0,0,1,1,0,0,0,1,acoustic_guitar,0.0
0,0,1,1,0,1,0,1,0,1,0,0,0,0,tv,0.015151515151515152
1,0,0,0,1,1,1,1,0,0,0,1,1,1,ant,0.1
0,1,1,1,0,1,1,0,0,1,1,0,1,1,tv,0.015151515151515152
1,1,0,1,1,1,1,1,1,0,1,0,1,0,bench,0.0
0,1,0,0,0,1,0,1,1,1,0,0,1,1,ant,0.3
1,1,0,0,0,1,0,0,1,0,1,0,1,0,desk_lamp,0.05494505494505496
1,1,0,1,0,1,1,1,0,1,0,1,0,1,bottle,0.14393939393939395
0,0,0,1,0,1,0,0,0,0,1,1,1,1,desk_lamp,0.08791208791208792
0,1,0,0,1,1,0,1,0,0,0,1,0,0,tv,0.0
1,1,1,1,0,1,0,1,0,0,0,0,0,0,helmet,0.14444444444444446
1,1,1,1,0,0,1,1,0,1,0,1,1,1,bottle,0.1818181818181818
0,1,0,0,0,1,1,1,0,0,1,1,1,0,acoustic_guitar,0.0
0,0,1,1,0,1,0,1,0,1,1,0,0,1,tv,0.015151515151515152
1,1,0,1,1,0,1,0,1,1,0,0,1,0,ant,0.05
0,0,0,0,1,0,1,0,0,1,1,0,0,0,ant,0.1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,ant,0.05
1,1,1,0,1,1,1,1,0,0,1,0,0,1,bottle,0.1818181818181818
1,1,0,1,0,0,1,1,0,1,1,1,1,0,bottle,0.16666666666666666
0,1,0,1,1,1,0,1,0,0,0,1,1,0,ant,0.1
1,1,1,1,0,0,0,0,0,0,1,1,0,0,tv,0.007575757575757576
1,0,1,0,0,0,0,0,1,1,1,0,0,0,ant,0.0
0,0,1,0,0,0,0,1,0,1,1,0,0,0,acoustic_guitar,0.08333333333333333
0,0,1,1,0,1,0,1,1,0,1,0,1,0,bottle,0.14393939393939395
0,1,1,1,0,1,1,0,1,1,0,0,0,0,desk_lamp,0.03846153846153847
1,0,1,1,1,1,1,1,0,1,0,0,0,1,bottle,0.1818181818181818
1,0,0,1,1,0,1,1,0,1,0,1,1,1,acoustic_guitar,0.0
1,1,1,0,0,1,1,0,1,0,0,1,1,1,tv,0.03787878787878788
1,1,1,0,0,0,0,0,1,1,1,0,0,0,ant,0.0
1,0,0,0,0,1,0,1,1,0,1,1,0,0,helmet,0.14444444444444446
1,1,1,1,1,1,1,1,1,0,1,0,0,1,helmet,0.08888888888888888
0,1,0,0,1,0,1,0,1,1,0,0,0,1,tv,0.0
0,0,0,0,1,1,0,0,1,1,0,1,1,1,ant,0.2
1,0,0,0,1,1,0,1,0,1,0,1,0,1,acoustic_guitar,0.0
1,0,1,1,1,0,0,1,0,1,1,0,0,0,helmet,0.02222222222222222
1,0,0,0,0,1,1,1,1,1,1,0,1,0,tv,0.022727272727272724
1,0,1,1,1,1,0,1,1,0,0,1,1,1,tv,0.03787878787878788
1,0,1,0,0,1,1,0,0,1,0,0,1,0,ant,0.1
1,0,0,1,0,1,0,0,0,0,1,0,1,1,desk_lamp,0.06043956043956045
0,1,1,1,0,0,1,0,0,0,1,0,1,1,ant,0.1
1,1,1,0,0,0,0,0,1,1,0,1,1,1,helmet,0.12222222222222223
1,0,1,1,1,1,1,1,0,1,1,1,0,0,acoustic_guitar,0.0
1,1,0,0,0,1,1,1,0,0,0,0,1,0,bench,0.009090909090909092
1,0,0,0,0,0,1,1,1,1,1,0,1,0,bench,0.02727272727272728
0,0,1,1,1,0,1,0,0,0,1,1,1,1,tv,0.030303030303030304
1,0,1,1,1,0,1,1,0,0,0,1,1,0,bottle,0.1590909090909091
1,1,1,0,0,1,1,0,1,0,1,0,0,1,desk_lamp,0.06593406593406594
0,1,0,1,0,0,0,1,1,1,0,0,1,0,bench,0.04545454545454546
1,0,0,1,1,0,1,0,0,0,1,0,1,0,bottle,0.12878787878787878
0,1,0,0,1,1,1,0,0,0,1,1,1,1,acoustic_guitar,0.0
0,1,1,0,0,0,0,1,0,1,0,0,0,1,tv,0.0
1,1,0,1,1,1,0,1,0,0,1,1,1,0,acoustic_guitar,0.0
0,0,1,0,1,0,0,1,1,0,0,0,0,1,ant,0.2
0,0,1,0,0,0,1,1,0,0,1,0,1,1,tv,0.015151515151515152
1,1,0,0,0,1,0,0,1,0,1,0,0,0,helmet,0.02222222222222222
0,0,0,1,1,1,0,0,1,0,0,0,1,1,bench,0.009090909090909092
0,0,0,0,1,1,1,1,1,1,0,0,1,0,ant,0.1
1,1,0,1,1,0,1,0,1,1,0,0,1,0,tv,0.03787878787878788
1,1,0,0,1,1,1,0,0,1,1,1,1,0,bench,0.018181818181818184
0,1,0,0,1,0,1,1,1,1,1,1,0,0,bottle,0.1590909090909091
1,0,0,0,0,1,1,0,0,1,0,1,1,1,tv,0.030303030303030304
0,1,1,1,1,0,1,1,0,1,1,1,0,1,tv,0.022727272727272724
1,1,1,0,1,1,1,1,0,1,1,1,1,1,tv,0.015151515151515152
1,1,0,0,0,1,0,1,0,1,1,1,0,1,bench,0.03636363636363637
1,1,1,0,1,1,0,1,0,1,0,1,1,1,bottle,0.1818181818181818
1,0,1,0,1,0,1,0,1,1,0,1,0,0,bottle,0.10606060606060606
1,1,1,0,1,0,0,0,1,0,0,0,0,1,bench,0.018181818181818184
0,1,1,0,0,0,0,0,1,1,1,0,0,1,tv,0.007575757575757576
1,1,1,0,0,0,0,0,1,1,1,0,0,0,tv,0.015151515151515152
0,0,0,1,1,0,0,0,0,0,0,0,0,1,acoustic_guitar,0.08333333333333333
0,1,0,0,0,0,0,0,1,0,0,1,0,0,acoustic_guitar,0.08333333333333333
0,1,0,1,0,0,1,0,0,1,1,1,1,0,helmet,0.05555555555555556
1,1,1,1,1,0,0,0,1,1,0,1,1,0,bench,0.03636363636363637
0,1,0,0,0,1,1,1,0,1,0,1,0,1,ant,0.2
0,0,1,0,0,0,1,1,1,1,1,0,1,0,bench,0.03636363636363637
1,1,1,1,1,0,0,0,0,0,0,1,1,0,tv,0.015151515151515152
1,1,1,0,1,1,0,1,1,0,0,1,0,1,acoustic_guitar,0.0
1,0,1,0,0,0,1,0,0,0,1,0,1,0,desk_lamp,0.049450549450549455
1,0,0,1,1,1,1,1,1,1,0,0,1,0,acoustic_guitar,0.0
1,0,1,1,0,0,1,1,1,0,0,1,1,1,desk_lamp,0.07692307692307694
1,0,1,0,1,0,0,0,0,0,1,0,0,1,bottle,0.1818181818181818
1,1,0,0,0,0,0,0,1,0,1,0,0,0,ant,0.0
0,1,1,0,1,0,0,1,0,0,0,0,0,1,bench,0.0
1,1,0,0,0,1,1,0,0,1,0,1,0,0,helmet,0.1222222222222222
0,1,0,1,0,1,1,0,1,0,0,1,1,1,helmet,0.08888888888888888
0,1,1,1,0,0,1,0,0,0,1,0,1,1,tv,0.015151515151515152
0,1,1,0,0,1,0,0,0,1,1,1,0,1,desk_lamp,0.0989010989010989
1,0,1,0,0,0,0,0,1,1,1,1,1,1,bottle,0.1818181818181818
1,0,0,1,0,0,1,0,1,0,0,0,0,0,bottle,0.11363636363636363
1,1,1,0,0,1,1,1,1,0,1,1,0,0,ant,0.0
1,1,0,1,1,1,0,1,0,1,0,1,0,1,ant,0.2
0,1,1,0,0,0,0,1,1,1,1,0,1,0,ant,0.15
0,1,1,1,0,1,1,0,1,1,0,0,0,0,acoustic_guitar,0.0
0,0,0,0,0,1,0,0,0,1,1,1,0,0,bottle,0.1590909090909091
1,0,1,1,0,0,1,0,1,1,1,0,0,1,bench,0.018181818181818184
1,0,1,1,0,0,1,0,0,1,0,1,0,0,helmet,0.1222222222222222
0,0,0,1,1,0,0,0,1,0,0,1,1,0,bottle,0.15151515151515152
1,1,0,0,0,1,1,1,0,1,0,1,0,0,desk_lamp,0.10439560439560439
0,0,0,0,1,1,0,0,1,0,0,1,1,0,acoustic_guitar,0.0
0,0,1,0,1,0,0,1,1,0,0,0,0,1,tv,0.015151515151515152
0,1,0,1,0,0,0,1,0,0,1,1,0,1,desk_lamp,0.09890109890109891
0,0,1,0,0,1,1,0,1,1,1,1,1,1,tv,0.015151515151515152
0,0,0,1,0,0,1,0,1,0,0,0,1,1,bench,0.018181818181818184
0,0,0,1,0,0,0,1,0,1,0,0,1,0,acoustic_guitar,0.0
0,0,1,0,1,0,0,1,0,1,1,0,0,1,bottle,0.18939393939393942
0,1,0,1,0,0,1,1,0,1,1,0,1,1,desk_lamp,0.03846153846153847
1,1,1,1,0,0,1,0,0,0,1,1,0,0,ant,0.0
1,0,1,0,1,1,0,0,1,0,0,0,0,0,ant,0.0
0,0,0,0,1,1,1,1,0,0,1,1,1,0,acoustic_guitar,0.0
